2026-05-27 18:05:30 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep5_scene5_frank_oubres_house__front_porch_depth.npy
2026-05-27 18:05:31 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep6_reveal2_evidence_depth.npy
2026-05-27 18:05:32 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep4_reveal3_document_depth.npy
2026-05-27 18:05:33 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep4_scene6_frank_oubres_house__front_porch_depth.npy
2026-05-27 18:05:34 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep1_scene4_marens_house__study_depth.npy
2026-05-27 18:05:35 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_scene2_the_voss_family_home_depth.npy
2026-05-27 18:05:36 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep5_reveal5_location_detail_depth.npy
2026-05-27 18:05:37 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep5_scene8_the_voss_family_home_depth.npy
2026-05-27 18:05:38 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep2_scene3_marens_house__study_depth.npy
2026-05-27 18:05:39 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep2_scene2_marens_house__study_depth.npy
2026-05-27 18:05:40 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep5_scene3_frank_oubres_house__front_porch_depth.npy
2026-05-27 18:05:41 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_scene6_the_voss_family_home_depth.npy
2026-05-27 18:05:42 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep4_scene5_the_records_office__municipal_building_depth.npy
2026-05-27 18:05:43 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep6_scene7_the_ravine__millbrook_trail_depth.npy
2026-05-27 18:05:44 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep2_scene8_marens_house__study_depth.npy
2026-05-27 18:05:45 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep1_scene7_marens_house__kitchen_depth.npy
2026-05-27 18:05:46 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep3_scene8_the_voss_family_home_depth.npy
2026-05-27 18:05:47 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep2_reveal1_evidence_depth.npy
2026-05-27 18:05:48 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: frank_oubres_house__front_porch_depth.npy
2026-05-27 18:05:49 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep6_reveal4_document_depth.npy
2026-05-27 18:05:50 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep5_scene6_the_voss_family_home_depth.npy
2026-05-27 18:05:51 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep5_reveal2_subject_depth.npy
2026-05-27 18:05:52 - Agent.DepthParallax - INFO - [DepthParallax] Depth map generated and cached: ep4_reveal2_document_depth.npy
2026-05-27 18:05:52 - Agent.DepthParallax - INFO - [DepthParallax] Depth maps ready: 65 new, 6 cached
